 shape_pt_sequence |    shape_pt_lat    |    shape_pt_lon
                10 | 13.297259073380054 | -59.641955263869654
                 1 | 13.318998762648716 | -59.633518363302464
                 2 |         13.3190338 |         -59.6346723
                 3 |         13.3191078 |         -59.6351718
                 4 |         13.3191781 |         -59.6356912
                 5 |         13.3192237 |         -59.6357772
                 6 |         13.3194142 |         -59.6358952
                 7 |         13.3194215 |         -59.6359954
                 8 |  13.31944327676167 |  -59.63689452521373
                 1 |  13.25318036893978 |  -59.64223794325322
                 2 |         13.2530537 |         -59.6422126
                 3 |         13.2525772 |         -59.6421165
                 4 |         13.2523173 |         -59.6420534
                 5 |         13.2522057 |         -59.6420304
                 6 |         13.2519311 |         -59.6419738
                 7 |         13.2517577 |         -59.6419381
                 8 |         13.2513942 |         -59.6418519
                 9 |         13.2511583 |         -59.6417928
                10 |  13.25104260485746 |  -59.64176664217612
                 1 | 13.281063917145897 | -59.646097791589455
                 2 |         13.2809774 |         -59.6462136
                 3 |         13.2808108 |          -59.646457
                 4 |         13.2806656 |         -59.6467622
                 5 |         13.2805153 |          -59.647037
                 6 |         13.2804275 |         -59.6471313
                 7 |         13.2802888 |           -59.64722
                 8 |         13.2800832 |          -59.647373
                 9 |         13.2799199 |         -59.6475037
                10 |         13.2798136 |         -59.6476094
                11 | 13.279733581520627 |  -59.64769340942597
                 1 |  13.28635128167181 |  -59.63992647564312
                 2 |         13.2859559 |         -59.6405678
                 3 |         13.2856857 |         -59.6411061
                 4 |         13.2856262 |         -59.6412614
                 5 |         13.2855611 |         -59.6414615
                 6 |         13.2854528 |         -59.6417589
                 7 |         13.2849574 |         -59.6424754
                 8 |         13.2846194 |          -59.642825
                 9 |         13.2845997 |         -59.6428438
                10 |          13.284539 |         -59.6429027
                11 |         13.2841142 |         -59.6434128
                12 |         13.2840229 |         -59.6435054
                13 |          13.283872 |         -59.6436501
                14 |         13.2838062 |          -59.643728
                15 |          13.283721 |         -59.6437993
                16 |         13.2836594 |         -59.6437857
                17 |         13.2836157 |         -59.6437602
                18 |         13.2834577 |         -59.6436422
                19 |         13.2833742 |            -59.6436
                20 |         13.2832906 |         -59.6435785
                21 |         13.2832267 |         -59.6435832
                22 |         13.2831836 |         -59.6436247
                23 |         13.2830779 |         -59.6437515
                24 |         13.2829304 |         -59.6439131
                25 |         13.2827326 |         -59.6441478
                26 |         13.2824788 |         -59.6444334
                27 |         13.2821792 |         -59.6447848
                28 |         13.2819528 |         -59.6450551
                29 |         13.2817205 |         -59.6453153
                30 |         13.2814891 |         -59.6455731
                31 |         13.2814037 |          -59.645682
                32 |         13.2811177 |         -59.6460258
                33 |  13.28107206966001 |  -59.64608687895831
                 1 | 13.251008585511071 |  -59.64175895065121
                 2 |          13.250854 |          -59.641724
                 3 |         13.2503685 |         -59.6416616
                 4 |         13.2501807 |         -59.6416424
                 5 |         13.2501574 |         -59.6416417
                 6 |         13.2501697 |         -59.6418105
                 7 |         13.2501638 |         -59.6418823
                 8 |         13.2501567 |           -59.64202
                 9 |          13.250145 |         -59.6421045
                10 |  13.25009746989317 | -59.642139094938095
                 1 | 13.296657141423552 |  -59.64124283306666
                 2 |         13.2965244 |          -59.641251
                 3 |         13.2962154 |         -59.6412917
                 4 |         13.2959447 |         -59.6413564
                 5 |         13.2958445 |         -59.6413936
                 6 |         13.2956287 |         -59.6414737
                 7 | 13.295547719229743 | -59.641523335974604
